--- 1x (1x-2src/cca.179) ---
link_ppt,norm_score,s1_tp,s1_del,s2_tp,s2_del
0.237,-4.892869,1.220160,6.678464,1.233621,6.696108
0.376,-3.226576,1.139900,3.469514,1.130381,3.476315
0.596,-1.951996,1.025780,2.020865,1.026529,2.016031
0.946,-1.156473,0.933420,1.395448,0.934598,1.393547
1.500,-0.781949,0.834207,1.094320,0.834129,1.093334
2.379,-1.586233,0.595553,1.033274,0.597012,1.033217
3.773,-2.509934,0.419117,1.001913,0.420493,1.001911
5.983,-3.830957,0.265931,1.001174,0.264859,1.001168
9.490,-5.165665,0.167034,1.000724,0.167034,1.000724

--- 10x (10x-2src/cca.36) ---
link_ppt,norm_score,s1_tp,s1_del,s2_tp,s2_del
0.237,-3.673870,1.134537,4.033525,1.112959,3.995385
0.376,-1.935313,0.991837,1.933463,0.994564,1.951301
0.596,-1.323498,0.855354,1.355434,0.856751,1.353115
0.946,-1.518199,0.658294,1.113926,0.656855,1.111876
1.500,-1.063310,0.803537,1.163412,0.806895,1.164602
2.379,-1.420743,0.684570,1.105158,0.666414,1.105157
3.773,-1.186412,0.686578,1.033875,0.684463,1.034469
5.983,-1.929803,0.513666,1.006207,0.517259,1.006076
9.490,-2.890345,0.366657,1.000744,0.368389,1.000746

--- 20x (20x-2src/cca.19) ---
link_ppt,norm_score,s1_tp,s1_del,s2_tp,s2_del
0.237,-8.239473,1.299301,22.757007,1.313092,22.657809
0.376,-3.970548,1.139488,4.566727,1.168255,4.569794
0.596,-2.272334,1.016286,2.232796,1.011002,2.223103
0.946,-1.763130,0.861242,1.586846,0.860179,1.584653
1.500,-1.362752,0.815706,1.304607,0.810011,1.302489
2.379,-1.054215,0.784399,1.127421,0.781191,1.128647
3.773,-1.278520,0.658329,1.024991,0.657804,1.024924
5.983,-1.781569,0.538842,1.001220,0.541120,1.001224
9.490,-3.068409,0.345862,1.000747,0.345193,1.000747

--- 100x (tests/RemyCC-2014-100x.dna) ---
link_ppt,norm_score,s1_tp,s1_del,s2_tp,s2_del
0.237,-1.987100,1.060761,2.111968,1.056993,2.104645
0.376,-1.098460,0.999810,1.462115,0.997422,1.460443
0.596,-0.955148,0.909386,1.265720,0.910324,1.268046
0.946,-0.842845,0.827452,1.110933,0.830808,1.109882
1.500,-1.067759,0.868511,1.257987,0.868856,1.257401
2.379,-1.127341,0.859678,1.273169,0.865669,1.276925
3.773,-1.225946,0.843477,1.285244,0.835775,1.282992
5.983,-1.064677,0.787915,1.133006,0.779529,1.133911
9.490,-1.000613,0.732616,1.039201,0.736420,1.038764
