link_ppt,link_mbps,normalized_score_per_sender
0.1000000000,1.0000,-3.286100
0.1151395399,1.1514,-3.465467
0.1325711366,1.3257,-3.545768
0.1526417967,1.5264,-3.489952
0.1757510625,1.7575,-3.371907
0.2023589648,2.0236,-3.450424
0.2329951811,2.3300,-3.354605
0.2682695795,2.6827,-2.931046
0.3088843596,3.0888,-2.518768
0.3556480306,3.5565,-0.832282
0.4094915062,4.0949,-0.820743
0.4714866363,4.7149,-0.846112
0.5428675439,5.4287,-0.781215
0.6250551925,6.2506,-0.816658
0.7196856730,7.1969,-0.863887
0.8286427729,8.2864,-0.751289
0.9540954763,9.5410,-0.919316
1.0985411420,10.9854,-0.804451
1.2648552169,12.6486,-0.795110
1.4563484775,14.5635,-0.831651
1.6768329368,16.7683,-0.711932
1.9306977289,19.3070,-0.803399
2.2229964825,22.2300,-0.854693
2.5595479227,25.5955,-0.844177
2.9470517026,29.4705,-0.966740
3.3932217719,33.9322,-0.949802
3.9069399371,39.0694,-1.061702
4.4984326690,44.9843,-1.041117
5.1794746792,51.7947,-1.149717
5.9636233166,59.6362,-1.212206
6.8664884500,68.6649,-1.422819
7.9060432109,79.0604,-1.375782
9.1029817799,91.0298,-1.552751
10.4811313415,104.8113,-1.702561
12.0679264064,120.6793,-1.662899
13.8949549437,138.9495,-1.683112
15.9985871961,159.9859,-1.800846
18.4206996933,184.2070,-1.833827
21.2095088792,212.0951,-1.777270
24.4205309455,244.2053,-2.561323
28.1176869797,281.1769,-2.376890
32.3745754282,323.7458,-2.408716
37.2759372031,372.7594,-2.940548
42.9193426013,429.1934,-2.302469
49.4171336132,494.1713,-2.822240
56.8986602902,568.9866,-2.243396
65.5128556860,655.1286,-2.816394
75.4312006335,754.3120,-2.723320
86.8511373751,868.5114,-2.725287
100.0000000000,1000.0000,-3.129425
