link_ppt,link_mbps,normalized_score_per_sender
0.1000000000,1.0000,-1.978246
0.1073030941,1.0730,-1.983161
0.1151395399,1.1514,-2.011888
0.1235482888,1.2355,-2.046474
0.1325711366,1.3257,-2.091239
0.1422529313,1.4225,-2.077351
0.1526417967,1.5264,-2.115471
0.1637893707,1.6379,-2.131230
0.1757510625,1.7575,-2.150599
0.1885863279,1.8859,-2.138412
0.2023589648,2.0236,-2.120698
0.2171374303,2.1714,-1.529149
0.2329951811,2.3300,-2.106741
0.2500110383,2.5001,-1.418850
0.2682695795,2.6827,-1.735482
0.2878615592,2.8786,-1.641283
0.3088843596,3.0888,-1.569553
0.3314424749,3.3144,-1.525366
0.3556480306,3.5565,-1.216285
0.3816213408,3.8162,-1.197476
0.4094915062,4.0949,-1.168787
0.4393970561,4.3940,-1.162630
0.4714866363,4.7149,-1.146265
0.5059197488,5.0592,-1.178573
0.5428675439,5.4287,-1.176299
0.5825136712,5.8251,-1.169706
0.6250551925,6.2506,-1.169336
0.6707035611,6.7070,-1.209044
0.7196856730,7.1969,-1.220972
0.7722449946,7.7224,-1.204116
0.8286427729,8.2864,-1.235934
0.8891593339,8.8916,-1.237527
0.9540954763,9.5410,-1.264567
1.0237739663,10.2377,-1.303898
1.0985411420,10.9854,-1.363491
1.1787686348,11.7877,-1.368797
1.2648552169,12.6486,-1.469721
1.3572287830,13.5723,-1.524469
1.4563484775,14.5635,-1.572633
1.5627069765,15.6271,-1.626001
1.6768329368,16.7683,-1.713162
1.7992936233,17.9929,-1.780007
1.9306977289,19.3070,-1.876049
2.0716983999,20.7170,-1.964140
2.2229964825,22.2300,-2.052248
2.3853440064,23.8534,-2.169185
2.5595479227,25.5955,-2.267537
2.7464741148,27.4647,-2.327445
2.9470517026,29.4705,-2.470636
3.1622776602,31.6228,-2.534899
3.3932217719,33.9322,-2.601697
3.6410319493,36.4103,-2.751774
3.9069399371,39.0694,-2.821370
4.1922674352,41.9227,-2.885724
4.4984326690,44.9843,-3.006844
4.8269574377,48.2696,-3.087146
5.1794746792,51.7947,-3.263151
5.5577365865,55.5774,-3.358647
5.9636233166,59.6362,-3.422794
6.3991523363,63.9915,-3.506638
6.8664884500,68.6649,-3.591311
7.3679545597,73.6795,-3.740268
7.9060432109,79.0604,-3.821138
8.4834289824,84.8343,-3.899453
9.1029817799,91.0298,-4.075633
9.7677811009,97.6778,-4.115984
10.4811313415,104.8113,-4.201960
11.2465782212,112.4658,-4.325960
12.0679264064,120.6793,-4.411372
12.9492584221,129.4926,-4.503592
13.8949549437,138.9495,-4.663227
14.9097165718,149.0972,-4.723014
15.9985871961,159.9859,-4.795761
17.1669790661,171.6698,-4.934728
18.4206996933,184.2070,-5.029211
19.7659807170,197.6598,-5.123616
21.2095088792,212.0951,-5.231936
22.7584592607,227.5846,-5.304714
24.4205309455,244.2053,-5.405550
26.2039852886,262.0399,-5.502618
28.1176869797,281.1769,-5.539039
30.1711481053,301.7115,-5.717989
32.3745754282,323.7458,-5.827535
34.7389211208,347.3892,-5.920589
37.2759372031,372.7594,-6.089323
39.9982339561,399.9823,-6.097329
42.9193426013,429.1934,-6.273366
46.0537825582,460.5378,-6.385049
49.4171336132,494.1713,-6.418385
53.0261133591,530.2611,-6.513204
56.8986602902,568.9866,-6.668522
61.0540229659,610.5402,-6.759048
65.5128556860,655.1286,-6.795319
70.2973211533,702.9732,-6.961126
75.4312006335,754.3120,-7.054248
80.9400121608,809.4001,-7.172217
86.8511373751,868.5114,-7.239729
93.1939576234,931.9396,-7.384788
100.0000000000,1000.0000,-7.447502
