link_ppt,link_mbps,normalized_score_per_sender
0.1000000000,1.0000,-2.933197
0.1151395399,1.1514,-2.663009
0.1325711366,1.3257,-2.324596
0.1526417967,1.5264,-2.111374
0.1757510625,1.7575,-1.821271
0.2023589648,2.0236,-1.612928
0.2329951811,2.3300,-1.395289
0.2682695795,2.6827,-1.184084
0.3088843596,3.0888,-0.948691
0.3556480306,3.5565,-0.726145
0.4094915062,4.0949,-0.562214
0.4714866363,4.7149,-0.376724
0.5428675439,5.4287,-0.417434
0.6250551925,6.2506,-0.501562
0.7196856730,7.1969,-0.576457
0.8286427729,8.2864,-0.625910
0.9540954763,9.5410,-0.663529
1.0985411420,10.9854,-0.797121
1.2648552169,12.6486,-0.971074
1.4563484775,14.5635,-0.494140
1.6768329368,16.7683,-0.481010
1.9306977289,19.3070,-0.566469
2.2229964825,22.2300,-0.461796
2.5595479227,25.5955,-0.318802
2.9470517026,29.4705,-0.505390
3.3932217719,33.9322,-0.296606
3.9069399371,39.0694,-0.345119
4.4984326690,44.9843,-0.448051
5.1794746792,51.7947,-0.622070
5.9636233166,59.6362,-0.772595
6.8664884500,68.6649,-0.879043
7.9060432109,79.0604,-1.104631
9.1029817799,91.0298,-1.285546
10.4811313415,104.8113,-1.476541
12.0679264064,120.6793,-1.687174
13.8949549437,138.9495,-1.812639
15.9985871961,159.9859,-2.030472
18.4206996933,184.2070,-2.191889
21.2095088792,212.0951,-2.355666
24.4205309455,244.2053,-2.601726
28.1176869797,281.1769,-2.781051
32.3745754282,323.7458,-2.980803
37.2759372031,372.7594,-3.167212
42.9193426013,429.1934,-3.334970
49.4171336132,494.1713,-3.563490
56.8986602902,568.9866,-3.784534
65.5128556860,655.1286,-3.925008
75.4312006335,754.3120,-4.129460
86.8511373751,868.5114,-4.376088
100.0000000000,1000.0000,-4.553656
